valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode,artist_track
0.72,1991,2.55e-05,0.502,5.032,0.912,0,0.000173,C#,0.106,-4.556,Major,Smells Like Teen Spirit,75,0.0564,116.761,1990s,Nirvana,C# - Major,Nirvana - Smells Like Teen Spirit
0.635,1991,0.00206,0.579,5.5262166666666666,0.8240000000000001,0,0.00903,F#,0.059,-8.71,Minor,Enter Sandman,74,0.03,123.331,1990s,Metallica,F# - Minor,Metallica - Enter Sandman
0.458,1991,0.0576,0.5589999999999999,4.405116666666666,0.345,0,0.000105,E,0.141,-13.496,Major,Under the Bridge,81,0.0459,84.581,1990s,Red Hot Chili Peppers,E - Major,Red Hot Chili Peppers - Under the Bridge
0.539,1991,0.00016,0.5,3.6486666666666663,0.8240000000000001,0,0.00161,E,0.0916,-5.846,Minor,Come As You Are,72,0.0388,120.125,1990s,Nirvana,E - Minor,Nirvana - Come As You Are
0.265,1991,0.00178,0.394,4.87635,0.944,0,4.54e-06,A#,0.298,-6.506,Minor,Even Flow,75,0.0761,105.338,1990s,Pearl Jam,A# - Minor,Pearl Jam - Even Flow
0.8029999999999999,1991,0.179,0.6659999999999999,4.4737833333333334,0.855,0,1.2e-06,A,0.0987,-5.051,Minor,Losing My Religion,82,0.0295,125.639,1990s,R.E.M.,A - Minor,R.E.M. - Losing My Religion
0.485,1991,0.0017399999999999,0.6779999999999999,4.284216666666667,0.6559999999999999,0,0.0,G,0.0631,-6.41,Major,Lithium,68,0.0381,123.207,1990s,Nirvana,G - Major,Nirvana - Lithium
0.595,1991,0.00752,0.284,5.681783333333334,0.875,0,0.000461,B,0.402,-6.069,Minor,Alive,76,0.0422,75.009,1990s,Pearl Jam,B - Minor,Pearl Jam - Alive
0.5539999999999999,1991,0.6629999999999999,0.746,3.30555,0.443,0,0.0,E,0.223,-11.305,Major,Meet In the Middle,66,0.0359,91.11,1990s,Diamond Rio,E - Major,Diamond Rio - Meet In the Middle
0.378,1991,0.0211,0.496,5.6,0.7390000000000001,0,0.00444,F#,0.106,-7.193,Major,Knockin' On Heaven's Door,77,0.0415,132.41,1990s,"""Guns N Roses""",F# - Major,"""Guns N Roses"" - Knockin' On Heaven's Door"
0.512,1991,3.33e-05,0.436,4.251333333333333,0.8759999999999999,0,0.000104,A#,0.205,-4.902,Minor,In Bloom - Nevermind Version,65,0.0647,157.04399999999995,1990s,Nirvana,A# - Minor,Nirvana - In Bloom - Nevermind Version
0.287,1991,0.0404,0.285,5.3037833333333335,0.846,0,0.0,D,0.182,-6.472,Major,Jeremy,73,0.0438,108.808,1990s,Pearl Jam,D - Major,Pearl Jam - Jeremy
0.627,1991,0.0854,0.8009999999999999,3.1347666666666667,0.5479999999999999,0,0.000232,B,0.387,-5.482,Minor,Badfish,66,0.0516,92.059,1990s,Sublime,B - Minor,Sublime - Badfish
0.7759999999999999,1991,0.00244,0.6659999999999999,4.715116666666667,0.936,0,0.086,G,0.153,-9.919,Major,Give It Away,73,0.0476,91.577,1990s,Red Hot Chili Peppers,G - Major,Red Hot Chili Peppers - Give It Away
0.2,1991,0.3229999999999999,0.36,5.710883333333333,0.684,0,0.0,E,0.34,-6.4570000000000025,Minor,Black,74,0.0308,77.15,1990s,Pearl Jam,E - Minor,Pearl Jam - Black
0.7979999999999999,1991,0.461,0.642,4.774883333333333,0.397,0,0.000834,F#,0.106,-16.842,Major,What You Won't Do for Love,64,0.0639,84.064,1990s,Bobby Caldwell,F# - Major,Bobby Caldwell - What You Won't Do for Love
0.949,1991,0.206,0.6509999999999999,4.035116666666666,0.7659999999999999,0,0.00103,C,0.362,-9.935,Major,Learning To Fly,71,0.0299,116.74,1990s,Tom Petty and the Heartbreakers,C - Major,Tom Petty and the Heartbreakers - Learning To Fly
0.242,1991,0.0105,0.282,4.197783333333334,0.6559999999999999,0,0.0,G#,0.0892,-6.557,Major,"Mama, I'm Coming Home",69,0.0302,139.352,1990s,Ozzy Osbourne,G# - Major,"Ozzy Osbourne - Mama, I'm Coming Home"
0.433,1991,0.000773,0.632,5.4093333333333335,0.845,0,0.00152,G,0.0618,-6.336,Major,Sad But True,64,0.0333,89.23200000000001,1990s,Metallica,G - Major,Metallica - Sad But True
0.878,1991,0.22,0.713,3.8377833333333338,0.768,0,0.0,D,0.177,-6.702000000000001,Major,It's Five O'Clock Somewhere,62,0.0363,125.203,1990s,Alan Jackson,D - Major,Alan Jackson - It's Five O'Clock Somewhere
0.758,1991,0.522,0.7829999999999999,4.136666666666667,0.698,0,2.52e-06,D#,0.0754,-8.267999999999999,Major,She's In Love With The Boy - Single Version,64,0.0323,124.996,1990s,Trisha Yearwood,D# - Major,Trisha Yearwood - She's In Love With The Boy - Single Version
0.292,1991,0.29,0.504,5.059783333333334,0.354,0,4.71e-06,E,0.157,-11.3,Major,Yellow Ledbetter,70,0.0339,140.87,1990s,Pearl Jam,E - Major,Pearl Jam - Yellow Ledbetter
0.454,1991,0.207,0.8859999999999999,5.14555,0.512,1,0.0,A#,0.0991,-11.825,Minor,Mind Playing Tricks on Me,66,0.237,93.997,1990s,Geto Boys,A# - Minor,Geto Boys - Mind Playing Tricks on Me
0.529,1991,0.0664,0.64,5.857783333333333,0.4270000000000001,0,0.0,F,0.0579,-9.29,Minor,End Of The Road,71,0.0241,149.703,1990s,Boyz II Men,F - Minor,Boyz II Men - End Of The Road
0.113,1991,0.846,0.588,5.549333333333333,0.149,0,9.65e-05,G,0.236,-16.727999999999998,Minor,I Can't Make You Love Me,68,0.0319,124.689,1990s,Bonnie Raitt,G - Minor,Bonnie Raitt - I Can't Make You Love Me
0.836,1991,0.00162,0.5429999999999999,4.278883333333333,0.912,0,2.1e-06,G,0.0565,-10.71,Major,Two Princes,71,0.0601,103.731,1990s,Spin Doctors,G - Major,Spin Doctors - Two Princes
0.795,1991,0.153,0.831,3.987116666666666,0.921,0,0.00224,F,0.305,-2.383,Minor,Remember the Time,69,0.0582,108.002,1990s,Michael Jackson,F - Minor,Michael Jackson - Remember the Time
0.0668,1991,0.745,0.4270000000000001,3.869116666666667,0.201,0,0.263,G#,0.109,-13.044,Major,Something In The Way,63,0.0317,105.218,1990s,Nirvana,G# - Major,Nirvana - Something In The Way
0.393,1991,0.52,0.428,4.2877833333333335,0.51,0,8.32e-06,G,0.105,-11.695,Minor,The Night The Lights Went Out In Georgia,62,0.103,169.967,1990s,Reba McEntire,G - Minor,Reba McEntire - The Night The Lights Went Out In Georgia
0.325,1991,0.245,0.392,4.603116666666667,0.534,0,0.00104,C,0.155,-8.793,Major,One,76,0.0369,181.305,1990s,U2,C - Major,U2 - One
0.933,1991,0.218,0.627,2.96645,0.6970000000000001,0,0.0,G#,0.0733,-6.61,Major,Small Town Saturday Night,62,0.0266,154.086,1990s,Hal Ketchum,G# - Major,Hal Ketchum - Small Town Saturday Night
0.392,1991,0.664,0.5529999999999999,3.82045,0.398,0,0.0,D#,0.114,-11.67,Major,Leather and Lace (with Don Henley),63,0.0303,76.074,1990s,Stevie Nicks,D# - Major,Stevie Nicks - Leather and Lace (with Don Henley)
0.954,1991,0.0631,0.795,3.792883333333333,0.64,0,2.13e-06,C#,0.0692,-13.478,Major,Something To Talk About,62,0.0294,102.633,1990s,Bonnie Raitt,C# - Major,Bonnie Raitt - Something To Talk About
0.45,1991,0.286,0.688,3.508,0.375,0,0.0,E,0.133,-9.601,Major,To Be With You - 2010 Remastered Version,72,0.0535,83.635,1990s,Mr. Big,E - Major,Mr. Big - To Be With You - 2010 Remastered Version
0.334,1991,0.547,0.5670000000000001,4.210216666666667,0.512,0,0.0,C,0.296,-8.831,Major,Walking in Memphis,71,0.0357,130.269,1990s,Marc Cohn,C - Major,Marc Cohn - Walking in Memphis
0.578,1991,0.813,0.517,3.74555,0.421,0,0.0,B,0.0788,-12.822,Minor,"Be Our Guest - From ""Beauty and the Beast""/Soundtrack",63,0.172,121.459,1990s,Angela Lansbury,B - Minor,"Angela Lansbury - Be Our Guest - From ""Beauty and the Beast""/Soundtrack"
0.198,1991,0.000129,0.325,3.731333333333333,0.929,0,2.22e-06,B,0.184,-5.625,Minor,Drain You,60,0.0695,133.358,1990s,Nirvana,B - Minor,Nirvana - Drain You
0.183,1991,0.78,0.241,2.7717833333333335,0.162,0,4.53e-06,G#,0.153,-14.447,Major,"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version",64,0.035,171.584,1990s,Angela Lansbury,G# - Major,"Angela Lansbury - Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version"
0.243,1991,0.00182,0.456,4.728883333333333,0.59,0,0.00379,B,0.104,-8.638,Major,Don't Cry (Original),75,0.0327,124.635,1990s,"""Guns N Roses""",B - Major,"""Guns N Roses"" - Don't Cry (Original)"
0.7240000000000001,1991,0.0099,0.508,3.1806666666666668,0.887,0,0.392,C#,0.345,-12.377,Minor,Jerry Was A Race Car Driver,62,0.0661,122.655,1990s,Primus,C# - Minor,Primus - Jerry Was A Race Car Driver
0.551,1991,0.000173,0.485,5.183333333333334,0.841,0,0.00686,D,0.125,-6.068,Minor,Outshined,63,0.0307,94.867,1990s,Soundgarden,D - Minor,Soundgarden - Outshined
0.264,1991,0.0109,0.262,3.04555,0.777,0,0.113,B,0.12,-8.671,Major,Live And Let Die,69,0.0632,152.5,1990s,"""Guns N Roses""",B - Major,"""Guns N Roses"" - Live And Let Die"
0.799,1991,0.0502,0.8809999999999999,3.61155,0.361,0,0.00458,B,0.246,-14.728,Minor,Check the Rhime,64,0.237,96.43,1990s,A Tribe Called Quest,B - Minor,A Tribe Called Quest - Check the Rhime
0.417,1991,0.825,0.551,5.152216666666667,0.384,0,0.0,C,0.145,-13.554,Major,"Belle - From ""Beauty and the Beast""/Soundtrack Version",63,0.106,129.283,1990s,Richard White,C - Major,"Richard White - Belle - From ""Beauty and the Beast""/Soundtrack Version"
0.958,1991,0.122,0.685,3.18445,0.718,0,0.0,C,0.0556,-7.724,Major,I Love a Rainy Night,62,0.0521,131.463,1990s,Eddie Rabbitt,C - Major,Eddie Rabbitt - I Love a Rainy Night
0.569,1991,0.836,0.588,2.31645,0.325,0,1.16e-06,C#,0.127,-10.925999999999998,Major,"Something There - From ""Beauty and the Beast""/Soundtrack Version",62,0.0374,126.127,1990s,Robby Benson,C# - Major,"Robby Benson - Something There - From ""Beauty and the Beast""/Soundtrack Version"
0.96,1991,0.129,0.534,3.669333333333334,0.904,0,0.0,A,0.128,-3.315,Major,Merry Christmas Everyone,73,0.0369,202.899,1990s,"""Shakin Stevens""",A - Major,"""Shakin Stevens"" - Merry Christmas Everyone"
0.8240000000000001,1991,0.0341,0.68,4.22655,0.701,0,0.00479,C,0.114,-10.46,Major,The Best - Edit,71,0.0275,103.789,1990s,Tina Turner,C - Major,Tina Turner - The Best - Edit
0.903,1991,0.00189,0.711,4.48845,0.951,0,0.366,C#,0.0229,-8.406,Major,Good Vibrations,61,0.0537,121.656,1990s,Marky Mark And The Funky Bunch,C# - Major,Marky Mark And The Funky Bunch - Good Vibrations
0.135,1991,0.000295,0.4,4.198883333333334,0.82,0,0.79,B,0.236,-12.281,Major,When You Sleep,58,0.0466,128.894,1990s,My Bloody Valentine,B - Major,My Bloody Valentine - When You Sleep
0.774,1991,0.0326,0.848,4.517783333333333,0.838,0,4.63e-06,E,0.124,-11.949000000000002,Minor,O.P.P,62,0.0723,97.735,1990s,Naughty By Nature,E - Minor,Naughty By Nature - O.P.P
0.263,1991,0.862,0.226,2.887783333333333,0.136,0,8.07e-06,F,0.302,-19.203,Minor,Smile,65,0.0327,79.37,1990s,Nat King Cole,F - Minor,Nat King Cole - Smile
0.551,1991,0.0985,0.672,5.949333333333334,0.52,0,1.28e-06,G,0.0365,-9.965,Minor,Breakin' My Heart (Pretty Brown Eyes),57,0.0407,137.213,1990s,Mint Condition,G - Minor,Mint Condition - Breakin' My Heart (Pretty Brown Eyes)
0.302,1991,0.153,0.529,5.347783333333333,0.662,0,0.00542,F,0.099,-11.745,Major,Right Now,57,0.0273,93.93,1990s,Van Halen,F - Major,Van Halen - Right Now
0.263,1991,3.69e-06,0.262,3.0673333333333335,0.969,0,0.00213,E,0.133,-4.675,Major,Breed,58,0.0894,158.433,1990s,Nirvana,E - Major,Nirvana - Breed
0.7929999999999999,1991,0.0495,0.6409999999999999,2.8511166666666665,0.637,0,0.000138,G,0.267,-10.92,Major,Don't Rock the Jukebox,60,0.0262,147.502,1990s,Alan Jackson,G - Major,Alan Jackson - Don't Rock the Jukebox
